,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
72,,EQ,18-May-2023,"3,092.45","3,105.65","3,125.00","3,093.25","3,109.20","3,109.05","3,111.03","4,98,067","1,54,94,99,468.00","52,766","2,47,345",49.66,ASIANPAINT
73,,EQ,19-May-2023,"3,109.05","3,124.00","3,127.95","3,068.05","3,085.00","3,084.45","3,090.74","6,33,262","1,95,72,46,280.10","56,554","3,27,944",51.79,ASIANPAINT
74,,EQ,22-May-2023,"3,084.45","3,070.00","3,105.60","3,046.00","3,087.00","3,084.90","3,083.20","6,59,425","2,03,31,36,415.00","53,673","3,47,476",52.69,ASIANPAINT
75,,EQ,23-May-2023,"3,084.90","3,087.00","3,127.95","3,085.00","3,117.00","3,120.60","3,116.44","5,81,204","1,81,12,89,391.65","47,234","3,22,631",55.51,ASIANPAINT
76,,EQ,24-May-2023,"3,120.60","3,115.00","3,133.15","3,098.00","3,101.00","3,101.50","3,112.96","4,39,465","1,36,80,37,166.55","36,302","2,16,676",49.30,ASIANPAINT
77,,EQ,25-May-2023,"3,101.50","3,101.50","3,129.00","3,086.00","3,119.90","3,123.55","3,110.46","5,00,313","1,55,62,05,162.55","35,448","2,67,438",53.45,ASIANPAINT
78,,EQ,26-May-2023,"3,123.55","3,123.00","3,136.95","3,111.75","3,127.00","3,128.40","3,126.59","5,68,249","1,77,66,83,403.35","34,782","3,03,958",53.49,ASIANPAINT
79,,EQ,29-May-2023,"3,128.40","3,147.20","3,155.00","3,116.05","3,139.00","3,137.40","3,129.99","5,35,712","1,67,67,74,540.05","43,842","2,62,867",49.07,ASIANPAINT
80,,EQ,30-May-2023,"3,137.40","3,146.90","3,155.00","3,127.55","3,141.45","3,144.40","3,143.77","5,06,026","1,59,08,27,208.40","48,386","2,87,089",56.73,ASIANPAINT
81,,EQ,31-May-2023,"3,144.40","3,151.95","3,219.35","3,136.45","3,195.00","3,192.95","3,190.32","23,49,066","7,49,42,60,796.65","1,06,339","15,95,686",67.93,ASIANPAINT
82,,EQ,01-Jun-2023,"3,192.95","3,235.35","3,249.90","3,207.00","3,240.00","3,240.70","3,236.48","11,04,861","3,57,58,56,348.15","93,247","6,60,345",59.77,ASIANPAINT
83,,EQ,02-Jun-2023,"3,240.70","3,239.40","3,249.95","3,219.00","3,232.00","3,237.25","3,237.82","7,81,973","2,53,18,88,968.15","66,607","4,60,122",58.84,ASIANPAINT
84,,EQ,05-Jun-2023,"3,237.25","3,239.95","3,239.95","3,195.00","3,201.80","3,199.75","3,208.79","4,92,565","1,58,05,36,275.70","48,058","2,37,131",48.14,ASIANPAINT
85,,EQ,06-Jun-2023,"3,199.75","3,207.75","3,238.90","3,195.00","3,213.00","3,212.75","3,216.85","5,77,698","1,85,83,67,579.40","64,101","2,86,542",49.60,ASIANPAINT
86,,EQ,07-Jun-2023,"3,212.75","3,217.00","3,229.25","3,206.25","3,227.00","3,224.80","3,220.53","4,70,038","1,51,37,70,533.85","59,601","2,62,438",55.83,ASIANPAINT
87,,EQ,08-Jun-2023,"3,224.80","3,220.00","3,247.00","3,193.00","3,215.80","3,212.25","3,216.20","5,61,161","1,80,48,06,404.20","51,824","2,82,393",50.32,ASIANPAINT
88,,EQ,09-Jun-2023,"3,212.25","3,209.80","3,238.90","3,168.55","3,178.90","3,180.55","3,198.83","12,39,045","3,96,34,89,132.60","67,292","8,54,506",68.96,ASIANPAINT
89,,EQ,12-Jun-2023,"3,180.55","3,185.20","3,202.35","3,151.15","3,197.40","3,194.75","3,180.24","10,29,156","3,27,29,62,229.95","49,670","7,26,442",70.59,ASIANPAINT
90,,EQ,13-Jun-2023,"3,194.75","3,210.00","3,272.00","3,205.15","3,256.10","3,262.85","3,256.54","15,98,821","5,20,66,21,879.85","1,07,400","7,25,530",45.38,ASIANPAINT
91,,EQ,14-Jun-2023,"3,262.85","3,265.00","3,289.90","3,253.00","3,270.75","3,270.20","3,270.11","7,41,615","2,42,51,63,503.10","81,023","4,21,829",56.88,ASIANPAINT
92,,EQ,15-Jun-2023,"3,270.20","3,276.00","3,304.00","3,273.35","3,291.00","3,294.35","3,291.01","8,06,994","2,65,58,28,012.60","92,700","5,16,006",63.94,ASIANPAINT
93,,EQ,16-Jun-2023,"3,294.35","3,291.75","3,322.00","3,286.55","3,318.15","3,316.85","3,307.13","9,84,671","3,25,64,30,329.95","62,695","6,49,026",65.91,ASIANPAINT
94,,EQ,19-Jun-2023,"3,316.85","3,318.85","3,344.95","3,303.25","3,311.20","3,309.70","3,318.54","5,16,915","1,71,54,04,356.00","45,543","2,69,725",52.18,ASIANPAINT
95,,EQ,20-Jun-2023,"3,309.70","3,315.00","3,326.85","3,277.10","3,312.70","3,318.70","3,300.28","8,66,290","2,85,90,01,340.75","78,457","5,71,251",65.94,ASIANPAINT
96,,EQ,21-Jun-2023,"3,318.70","3,318.70","3,333.00","3,300.00","3,322.00","3,316.10","3,311.91","7,42,456","2,45,89,44,685.45","73,902","5,04,101",67.90,ASIANPAINT
97,,EQ,22-Jun-2023,"3,316.10","3,325.00","3,326.85","3,242.45","3,250.00","3,248.05","3,280.90","8,71,640","2,85,97,61,132.55","54,536","5,41,634",62.14,ASIANPAINT
98,,EQ,23-Jun-2023,"3,248.05","3,265.00","3,304.15","3,253.05","3,297.00","3,297.70","3,286.45","12,60,659","4,14,30,86,640.40","83,744","4,89,849",38.86,ASIANPAINT
99,,EQ,26-Jun-2023,"3,297.70","3,295.00","3,315.35","3,271.40","3,305.75","3,308.15","3,301.90","5,92,801","1,95,73,68,597.40","62,556","3,92,060",66.14,ASIANPAINT
100,,EQ,27-Jun-2023,"3,308.15","3,275.00","3,344.50","3,273.35","3,325.00","3,326.00","3,325.11","9,14,141","3,03,96,19,506.95","80,459","6,55,553",71.71,ASIANPAINT
101,,EQ,28-Jun-2023,"3,326.00","3,331.00","3,355.25","3,323.50","3,350.00","3,348.25","3,343.88","7,13,110","2,38,45,55,468.75","71,197","4,28,299",60.06,ASIANPAINT
102,,EQ,30-Jun-2023,"3,348.25","3,353.00","3,449.60","3,343.75","3,360.00","3,362.05","3,385.19","14,36,363","4,86,23,64,021.00","1,04,536","7,13,252",49.66,ASIANPAINT
103,,EQ,03-Jul-2023,"3,362.05","3,365.00","3,379.95","3,337.20","3,354.00","3,358.70","3,356.07","4,74,224","1,59,15,30,172.70","61,821","2,32,433",49.01,ASIANPAINT
104,,EQ,04-Jul-2023,"3,358.70","3,358.70","3,387.00","3,331.00","3,344.00","3,347.70","3,348.60","4,73,663","1,58,61,06,938.75","55,647","2,18,057",46.04,ASIANPAINT
105,,EQ,05-Jul-2023,"3,347.70","3,351.35","3,400.00","3,340.75","3,377.00","3,374.40","3,375.15","6,32,406","2,13,44,62,655.95","53,145","3,32,505",52.58,ASIANPAINT
106,,EQ,06-Jul-2023,"3,374.40","3,410.00","3,410.00","3,367.80","3,390.00","3,399.40","3,390.45","6,93,995","2,35,29,56,419.75","79,906","4,15,242",59.83,ASIANPAINT
107,,EQ,07-Jul-2023,"3,399.40","3,385.00","3,414.00","3,337.15","3,346.75","3,343.70","3,370.36","6,20,761","2,09,21,90,416.25","68,126","3,51,741",56.66,ASIANPAINT
108,,EQ,10-Jul-2023,"3,343.70","3,345.00","3,372.05","3,293.95","3,336.65","3,343.15","3,332.34","5,48,838","1,82,89,13,902.55","58,406","2,77,092",50.49,ASIANPAINT
109,,EQ,11-Jul-2023,"3,343.15","3,349.95","3,399.95","3,345.00","3,388.10","3,392.55","3,383.36","7,72,158","2,61,24,85,104.70","69,821","4,60,980",59.70,ASIANPAINT
110,,EQ,12-Jul-2023,"3,392.55","3,408.00","3,414.40","3,362.25","3,403.00","3,406.75","3,393.64","10,25,127","3,47,89,16,060.60","85,655","5,75,586",56.15,ASIANPAINT
111,,EQ,13-Jul-2023,"3,406.75","3,425.00","3,425.00","3,384.35","3,401.00","3,398.55","3,399.81","7,50,126","2,55,02,82,726.25","65,376","3,75,702",50.09,ASIANPAINT
112,,EQ,14-Jul-2023,"3,398.55","3,398.55","3,439.00","3,387.00","3,425.00","3,429.75","3,412.09","8,32,843","2,84,17,34,117.75","77,445","4,30,405",51.68,ASIANPAINT
113,,EQ,17-Jul-2023,"3,429.75","3,429.75","3,473.00","3,425.00","3,458.15","3,460.40","3,449.54","8,17,694","2,82,06,64,301.15","73,239","3,50,985",42.92,ASIANPAINT
114,,EQ,18-Jul-2023,"3,460.40","3,460.00","3,523.00","3,455.60","3,514.45","3,513.45","3,495.91","9,62,485","3,36,47,63,490.45","89,846","5,00,592",52.01,ASIANPAINT
115,,EQ,19-Jul-2023,"3,513.45","3,520.00","3,530.00","3,482.50","3,515.00","3,514.65","3,503.97","6,20,289","2,17,34,75,302.15","60,461","3,55,344",57.29,ASIANPAINT
116,,EQ,20-Jul-2023,"3,514.65","3,510.05","3,535.00","3,494.95","3,520.20","3,526.00","3,520.14","5,89,848","2,07,63,47,154.20","58,248","3,37,709",57.25,ASIANPAINT
117,,EQ,21-Jul-2023,"3,526.00","3,535.95","3,537.95","3,505.00","3,516.00","3,517.70","3,517.09","8,57,975","3,01,75,74,294.10","75,871","6,01,862",70.15,ASIANPAINT
118,,EQ,24-Jul-2023,"3,517.70","3,506.00","3,568.00","3,498.50","3,544.65","3,543.70","3,533.43","6,80,246","2,40,36,00,498.55","58,792","3,33,553",49.03,ASIANPAINT
119,,EQ,25-Jul-2023,"3,543.70","3,547.90","3,547.90","3,350.00","3,395.00","3,400.40","3,427.15","25,55,630","8,75,85,36,304.05","1,85,812","8,50,368",33.27,ASIANPAINT
120,,EQ,26-Jul-2023,"3,400.40","3,399.85","3,413.00","3,365.00","3,365.00","3,373.00","3,389.23","9,59,076","3,25,05,25,166.00","1,00,287","3,84,484",40.09,ASIANPAINT
121,,EQ,27-Jul-2023,"3,373.00","3,390.00","3,414.00","3,351.00","3,383.00","3,369.40","3,376.86","8,74,078","2,95,16,40,474.15","72,854","4,42,865",50.67,ASIANPAINT
122,,EQ,28-Jul-2023,"3,369.40","3,375.00","3,399.00","3,364.50","3,394.40","3,390.70","3,382.56","5,53,750","1,87,30,90,673.90","55,598","2,95,501",53.36,ASIANPAINT
123,,EQ,31-Jul-2023,"3,390.70","3,323.20","3,388.00","3,323.15","3,375.15","3,377.35","3,361.70","9,33,890","3,13,94,57,052.95","92,632","5,23,883",56.10,ASIANPAINT
124,,EQ,01-Aug-2023,"3,377.35","3,372.00","3,385.00","3,338.00","3,344.00","3,342.95","3,349.67","6,98,667","2,34,03,01,028.75","58,927","4,44,277",63.59,ASIANPAINT
125,,EQ,02-Aug-2023,"3,342.95","3,341.20","3,371.95","3,330.65","3,361.00","3,362.90","3,352.75","8,57,218","2,87,40,41,420.05","63,102","4,50,689",52.58,ASIANPAINT
126,,EQ,03-Aug-2023,"3,362.90","3,370.00","3,379.95","3,317.95","3,335.00","3,336.35","3,339.06","7,11,067","2,37,42,97,846.85","56,957","3,74,319",52.64,ASIANPAINT
127,,EQ,04-Aug-2023,"3,336.35","3,338.15","3,373.30","3,323.00","3,337.60","3,339.65","3,345.05","5,19,248","1,73,69,08,553.35","49,270","2,80,679",54.05,ASIANPAINT
128,,EQ,07-Aug-2023,"3,339.65","3,316.05","3,350.00","3,316.00","3,344.00","3,343.00","3,337.51","3,60,358","1,20,26,97,904.20","40,014","1,67,760",46.55,ASIANPAINT
129,,EQ,08-Aug-2023,"3,343.00","3,343.00","3,359.95","3,332.65","3,342.00","3,348.05","3,346.67","5,00,258","1,67,42,00,655.65","67,902","3,13,403",62.65,ASIANPAINT
130,,EQ,09-Aug-2023,"3,348.05","3,332.55","3,356.95","3,303.00","3,325.20","3,331.00","3,325.96","6,43,222","2,13,93,29,392.45","68,048","3,87,913",60.31,ASIANPAINT
131,,EQ,10-Aug-2023,"3,331.00","3,310.00","3,320.00","3,230.00","3,231.00","3,237.90","3,253.22","12,53,219","4,07,69,99,776.80","1,24,013","5,44,200",43.42,ASIANPAINT
132,,EQ,11-Aug-2023,"3,237.90","3,237.90","3,248.95","3,180.00","3,184.95","3,185.35","3,199.90","9,19,023","2,94,07,80,182.80","94,902","5,34,607",58.17,ASIANPAINT
133,,EQ,14-Aug-2023,"3,185.35","3,185.35","3,209.90","3,152.25","3,198.00","3,202.60","3,185.32","8,15,534","2,59,77,34,022.95","1,06,204","4,99,124",61.20,ASIANPAINT
