Key,P/E Ratio
Zaggle Prepaid Ocean Services Limited,151.8421
IOL Chemicals and Pharmaceuticals Limited,15.064758
Ashiana Housing Limited,53.875217
PTC India Financial Services Limited,22.547527
The Anup Engineering Limited,39.868668
Indian Metals & Ferro Alloys Limited,12.760416
Apollo Pipes Limited,57.75789
Vishnu Prakash R Punglia Limited,26.853233
Goodluck India Limited,26.348951
Optiemus Infracom Limited,58.034683
Seamec Limited,623.5792
Satin Creditcare Network Limited,11.97063
Apcotex Industries Limited,40.625
Gujarat Industries Power Company Limited,18.09232
Lumax Auto Technologies Limited,29.568453
Dollar Industries Limited,54.88081
Uniparts India Limited,15.113097
Vindhya Telelinks Limited,12.602854
Madhya Bharat Agro Products Limited,27.716047
GOCL Corporation Limited,34.55922
Prataap Snacks Limited,55.144047
Confidence Petroleum India Limited,21.78205
Styrenix Performance Materials Limited,16.88439
Supriya Lifescience Limited,24.400642
Eveready Industries India Limited,62.14536
Globus Spirits Limited,20.31982
Bhansali Engineering Polymers Limited,17.037338
Ugro Capital Limited,21.901352
Morepen Laboratories Limited,51.45631
Mayur Uniquoters Ltd,21.715343
Tide Water Oil Company (India) Limited,22.521126
IKIO Lighting Limited,16.460703
Repco Home Finance Limited,7.625421
AXISCADES Technologies Limited,146.30756
Foseco India Limited,34.401943
Artemis Medicare Services Limited,81.06987
Savita Oil Technologies Limited,17.33402
ANDHRA PAPER LIMITED,4.5139904
Siyaram Silk Mills Limited,12.033955
Honda India Power Products Limited,29.000238
Hindustan Oil Exploration Company Limited,9.590078
India Glycols Limited,15.648229
Precision Camshafts Limited,53.913048
EMS Limited,22.393091
Skipper Limited,44.848484
MM Forgings Limited,16.94895
Vishnu Chemicals Limited,16.440414
Alembic Limited,10.998878
Lumax Industries Limited,22.208658
Krsnaa Diagnostics Limited,40.271706
Camlin Fine Sciences Limited,66.510414
Manorama Industries Limited,63.384518
Pitti Engineering Limited,28.278866
Thirumalai Chemicals Limited,Infinity
Updater Services Limited,61.54844
Sirca Paints India Limited,43.322
Seshasayee Paper and Boards Limited,6.198692
BF Utilities Limited,17.965378
Rishabh Instruments Limited,38.003117
RPG Life Sciences Limited,34.580658
